,Open,High,Low,Close_Gold,Volume,SP500,Close_Oil,DollarIndex
Count   ,3727.0,3727.0,3727.0,3727.0,3727.0,3727.0,3727.0,3727.0
Mean    ,1531.55,1539.15,1523.61,1531.51,5355.95,2689.61,72.03,92.01
Median  ,1423.3,1430.4,1416.0,1422.6,157.0,2404.39,73.44,94.28
Mode    ,1252.7,1236.0,1218.6,1273.7,0.0,1064.88,44.66,80.25
Min     ,1052.2,1062.0,1045.2,1050.8,0.0,1022.58,-37.63,73.11
Max     ,2748.6,2760.9,2729.1,2760.8,386334.0,5864.67,123.7,114.05
Q1      ,1258.4,1265.15,1253.35,1258.25,44.5,1692.66,53.19,82.1
Q2      ,1423.3,1430.4,1416.0,1422.6,157.0,2404.39,73.44,94.28
Q3      ,1778.85,1788.5,1770.4,1777.9,504.0,3751.76,89.88,98.43
IQR     ,520.45,523.35,517.05,519.65,459.5,2059.1,36.68,16.34
Variance,109649.67,110923.09,108619.82,109795.41,829620855.76,1492800.04,461.47,84.99
Stdev   ,331.13,333.05,329.58,331.35,28803.14,1221.8,21.48,9.22
